﻿list_centres_project_code,list_centres_project_name,list_centres_code,list_centres_name
CD151,Urgence fièvre jaune,24,PS ANZA
CD159,Dingila,25,PS BANGO
CD151,Urgence fièvre jaune,25,PS BANGO
CD159,Dingila,26,PS MOSAKPADHE
CD151,Urgence fièvre jaune,26,PS MOSAKPADHE
CD159,Dingila,27,CS LEBO
CD151,Urgence fièvre jaune,27,CS LEBO
CD159,Dingila,28,CSR GANGA
CD151,Urgence fièvre jaune,28,CSR GANGA
CD159,Dingila,29,PS MATALE
CD151,Urgence fièvre jaune,29,PS MATALE
CD159,Dingila,30,PS LIKANDI CENTRE
CD151,Urgence fièvre jaune,30,PS LIKANDI CENTRE
CD159,Dingila,31,PS ABULA
CD151,Urgence fièvre jaune,31,PS ABULA
CD159,Dingila,32,PS BOBAGALA
CD151,Urgence fièvre jaune,32,PS BOBAGALA
CD159,Dingila,33,PS MOKPUDU
CD151,Urgence fièvre jaune,33,PS MOKPUDU
CD159,Dingila,34,CS MABODHO
CD151,Urgence fièvre jaune,34,CS MABODHO
CD159,Dingila,54,CS DOROMO
CD151,Urgence fièvre jaune,54,CS DOROMO
CD159,Dingila,55,PS BAKPOKI
CD151,Urgence fièvre jaune,55,PS BAKPOKI
CD159,Dingila,56,PS NEMBISILI
CD151,Urgence fièvre jaune,56,PS NEMBISILI
CD159,Dingila,57,PS RUBI
CD151,Urgence fièvre jaune,57,PS RUBI
CD159,Dingila,58,PS KANANA
CD151,Urgence fièvre jaune,58,PS KANANA
CD159,Dingila,59,CS KANA
CD151,Urgence fièvre jaune,59,CS KANA
CD159,Dingila,60,PS KELA
CD151,Urgence fièvre jaune,60,PS KELA
CD159,Dingila,61,PS BANGOYA
CD151,Urgence fièvre jaune,61,PS BANGOYA
CD159,Dingila,62,PS NEBANGOLIMA
CD151,Urgence fièvre jaune,62,PS NEBANGOLIMA
CD159,Dingila,63,PS AOG
CD151,Urgence fièvre jaune,63,PS AOG
CD159,Dingila,64,PS ZEMBE
CD151,Urgence fièvre jaune,64,PS ZEMBE
CD159,Dingila,65,CS
CD151,Urgence fièvre jaune,65,CS
CD159,Dingila,66, CS DANGA
CD151,Urgence fièvre jaune,66, CS DANGA
CD159,Dingila,67,PS NEMANZI
CD151,Urgence fièvre jaune,67,PS NEMANZI
CD125,Gety,70,HGR pediatrie
CD125,Gety,71,HGR susie
CD125,Gety,72,Geti Etat
CD125,Gety,73,Isura
CD125,Gety,74,Olongba
CD125,Gety,75,Zitono
CD132,Urgence Rougeole Nizi,76,Baimani
CD132,Urgence Rougeole Nizi,77,CE39
CD132,Urgence Rougeole Nizi,78,Heritage
CD132,Urgence Rougeole Nizi,79,Kambe
CD132,Urgence Rougeole Nizi,80,Lingo
CD132,Urgence Rougeole Nizi,81,Luchay
CD132,Urgence Rougeole Nizi,82,Ndjanga
CD132,Urgence Rougeole Nizi,83,HGR Nizi
CD132,Urgence Rougeole Nizi,84,Risasi
CD132,Urgence Rougeole Nizi,85,CS Lopa
CF115,NOLA Rougeole,1,Hôpital de Nola
CF115,NOLA Rougeole,2,CS Bania
CF115,NOLA Rougeole,3,CS Baleguo
CF115,NOLA Rougeole,4,CS Sapoua
CF110,Berberati,5,Beligai
CF110,Berberati,6,Bengote
CF110,Berberati,7,Difolo
CF110,Berberati,8,Nambona
CF110,Berberati,9,Poto Poto
CF110,Berberati,10,Sambanda
CF110,Berberati,11,St Anne
CF110,Berberati,12,St Basile
CF110,Berberati,13,EEB
CF110,Berberati,14,Nandobo
CF110,Berberati,15,Nasole
CF110,Berberati,16,Amada-Gaza
CF110,Berberati,17,Nao
CF110,Berberati,18,Zabo
TD144,Vaccination rougeole Guereda,1,Hôpital de Guereda
TD144,Vaccination rougeole Guereda,2,Clinique mobile 01
TD144,Vaccination rougeole Guereda,3,Clinique mobile 02
TD144,Vaccination rougeole Guereda,4,Clinique mobile 03
TD144,Vaccination rougeole Guereda,5,Clinique mobile 04
TD144,Vaccination rougeole Guereda,6,Clinique mobile 05
TD144,Vaccination rougeole Guereda,7,Clinique mobile 06
TD144,Vaccination rougeole Guereda,8,Clinique mobile 07
TD144,Vaccination rougeole Guereda,9,Clinique mobile 08
TD144,Vaccination rougeole Guereda,10,Clinique mobile 09
TD144,Vaccination rougeole Guereda,11,Clinique mobile 10
TD144,Vaccination rougeole Guereda,12,Clinique mobile 11
TD144,Vaccination rougeole Guereda,13,Clinique mobile 12
TD144,Vaccination rougeole Guereda,14,Clinique mobile 13
TD144,Vaccination rougeole Guereda,15,Clinique mobile 14
TD144,Vaccination rougeole Guereda,16,Clinique mobile 15
TD144,Vaccination rougeole Guereda,17,Clinique mobile 16
TD144,Vaccination rougeole Guereda,18,Clinique mobile 17
TD144,Vaccination rougeole Guereda,19,Clinique mobile 18
TD144,Vaccination rougeole Guereda,20,Clinique mobile 19
TD144,Vaccination rougeole Guereda,21,Clinique mobile 20
TD145,Urgence malaria Massakory,35,CS de Alkouk
TD145,Urgence malaria Massakory,36,CS de Assessary
TD145,Urgence malaria Massakory,37,CS de Bachom
TD145,Urgence malaria Massakory,38,CS de Baltram
TD145,Urgence malaria Massakory,39,CS de Bouloty
TD145,Urgence malaria Massakory,40,CS de Gredaya
TD145,Urgence malaria Massakory,41,CS de Kamerom
TD145,Urgence malaria Massakory,42,CS de Karal
TD145,Urgence malaria Massakory,43,CS de Karal II
TD145,Urgence malaria Massakory,44,CS de Keke-Konkia
TD145,Urgence malaria Massakory,45,CS de Kile-Kile
TD145,Urgence malaria Massakory,46,CS de Koukaye
TD145,Urgence malaria Massakory,47,CS de Massakory
TD145,Urgence malaria Massakory,48,Hôpital de Massakory
TD145,Urgence malaria Massakory,49,CS de Ndoiukouri
TD145,Urgence malaria Massakory,50,CS de Sidje
TD145,Urgence malaria Massakory,51,CS de Soulemanari
TD145,Urgence malaria Massakory,52,CS de Toumssa Baderi
TD145,Urgence malaria Massakory,53,CS de Toumssari
TD145,Urgence malaria Massakory,33,Clinique mobile 1
TD145,Urgence malaria Massakory,34,Clinique mobile 2
TD145,Urgence malaria Massakory,54,CS de Tourba
CD151,Urgence fièvre jaune,1,HGR Buta IPD
CD151,Urgence fièvre jaune,2,HGR Buta OPD
CD151,Urgence fièvre jaune,3,CS Bale
CD151,Urgence fièvre jaune,4,CS Bamaria
CD151,Urgence fièvre jaune,5,CS Bomea
CD151,Urgence fièvre jaune,6,CS Koteli
CD151,Urgence fièvre jaune,7,CS Makala
CD151,Urgence fièvre jaune,8,CS Malikuta
CD151,Urgence fièvre jaune,9,CS Maselebende
CD151,Urgence fièvre jaune,10,CS Melume
CD151,Urgence fièvre jaune,11,CS Mobenge
CD151,Urgence fièvre jaune,12,CS Popoka
CD151,Urgence fièvre jaune,13,CS Rive Gauche
CD151,Urgence fièvre jaune,14,CS Rubi Lisanga
CD151,Urgence fièvre jaune,15,CS Sukisa
CD151,Urgence fièvre jaune,16,CS Triangle
CD151,Urgence fièvre jaune,17,CS Yema
CD151,Urgence fièvre jaune,18,CS Yeme
CD151,Urgence fièvre jaune,19,PS Bosoyi
CD151,Urgence fièvre jaune,20,PS Bowayi
CD151,Urgence fièvre jaune,21,PS Longa
CD151,Urgence fièvre jaune,22,PS Pamea
MX120,Nuevo Laredo,1,Hospital General Nuevo Laredo
HT120,Leogane Hospital,1,Outreach
HT120,Leogane Hospital,2,Hospital
SS160,Agok,1,OPD
SS160,Agok,2,Hospital
SD207,Sudan Emergency Response Project,6,Measles Emergency
SD207,Sudan Emergency Response Project,8,Basunda
SD207,Sudan Emergency Response Project,9,Al Rahad
SD207,Sudan Emergency Response Project,10,Gala Nahal
SD207,Sudan Emergency Response Project,11,East Galabat
SD207,Sudan Emergency Response Project,12,West Galabat
SD220,Gedaref Kala Azar,7,GedKalaAzarC2
IQ143,Domiz Refugee Camp,1,Domiz Clinic
NE120,Magaria,1,Hôpital de Magaria
NE120,Magaria,2,Adaré
NE120,Magaria,3,Arko
NE120,Magaria,4,Bakané
NE120,Magaria,5,Bangaya
NE120,Magaria,6,Bangaza
NE120,Magaria,7,Barouma
NE120,Magaria,8,Bobori
NE120,Magaria,9,Danbourdodo
NE120,Magaria,10,Danguichi
NE120,Magaria,11,Dan-Tchiao
NE120,Magaria,12,Dina
NE120,Magaria,13,Dogo-Dogo
NE120,Magaria,14,Dossono
NE120,Magaria,15,Droumi
NE120,Magaria,16,Dungass
NE120,Magaria,17,Garin-Gako
NE120,Magaria,18,Goringo
NE120,Magaria,19,Guetche
NE120,Magaria,20,Guetsi
NE120,Magaria,21,Lilli
NE120,Magaria,22,Lollo
NE120,Magaria,23,Magaria
NE120,Magaria,24,Maitsamia
NE120,Magaria,25,Mallawa
NE120,Magaria,26,Sarkin-Fawa
NE120,Magaria,27,Tin-Kim
NE120,Magaria,28,Zangui
HN140,Urban violence,2,Medical Centres
NE120,Magaria,2,Adaré
NE120,Magaria,3,Arko
NE120,Magaria,4,Bakané
NE120,Magaria,5,Bangaya
NE120,Magaria,6,Bangaza
NE120,Magaria,7,Barouma
NE120,Magaria,8,Bobori
NE120,Magaria,9,Danbourdodo
NE120,Magaria,10,Danguichi
NE120,Magaria,11,Dan-Tchiao
NE120,Magaria,12,Dina
NE120,Magaria,13,Dogo-Dogo
NE120,Magaria,14,Dossono
NE120,Magaria,15,Droumi
NE120,Magaria,16,Dungass
NE120,Magaria,17,Garin-Gako
NE120,Magaria,18,Goringo
NE120,Magaria,19,Guetche
NE120,Magaria,20,Guetsi
NE120,Magaria,21,Lilli
NE120,Magaria,22,Lollo
NE120,Magaria,23,Magaria
NE120,Magaria,24,Maitsamia
NE120,Magaria,25,Mallawa
NE120,Magaria,26,Sarkin-Fawa
NE120,Magaria,27,Tin-Kim
NE120,Magaria,28,Zangui
NE120,Magaria,29,NIGERIA
SY111,North East Syria,1,Maabada
SY111,North East Syria,2,Derik
SY111,North East Syria,3,Qamishli
SY111,North East Syria,4,Tel Kocher
TD145,Urgence malaria Massakory,1,CS Malmajarti
TD145,Urgence malaria Massakory,2,CS Amchoca
TD145,Urgence malaria Massakory,3,CS de Alkouk
TD145,Urgence malaria Massakory,4,CS de Assessary
TD145,Urgence malaria Massakory,5,CS de Bachom
TD145,Urgence malaria Massakory,6,CS de Baltram
TD145,Urgence malaria Massakory,7,CS de Bouloty
TD145,Urgence malaria Massakory,8,CS de Gredaya
TD145,Urgence malaria Massakory,9,CS de Kamerom
TD145,Urgence malaria Massakory,10,CS de Karal
TD145,Urgence malaria Massakory,11,CS de Karal II
TD145,Urgence malaria Massakory,12,CS de Keke-Konkia
TD145,Urgence malaria Massakory,13,CS de Kile-Kile
TD145,Urgence malaria Massakory,14,CS de Koukaye
TD145,Urgence malaria Massakory,35,Lala
TD145,Urgence malaria Massakory,36,Tamadaye
TD145,Urgence malaria Massakory,15,CS de Massakory
TD145,Urgence malaria Massakory,16,Hôpital de Massakory
TD145,Urgence malaria Massakory,17,CS de Ndoiukouri
TD145,Urgence malaria Massakory,18,CS de Sidje
TD145,Urgence malaria Massakory,19,CS de Soulemanari
TD145,Urgence malaria Massakory,20,CS de Toumssa Baderi
TD145,Urgence malaria Massakory,21,CS de Toumssari
TD145,Urgence malaria Massakory,22,CS de Tourba
TD145,Urgence malaria Massakory,23,Centre/clinique 01
TD145,Urgence malaria Massakory,24,Centre/clinique 02
TD145,Urgence malaria Massakory,25,Centre/clinique 03
TD145,Urgence malaria Massakory,26,Abkorno
TD145,Urgence malaria Massakory,27,Achib Nchib Ngalat
TD145,Urgence malaria Massakory,28,Bideine
TD145,Urgence malaria Massakory,29,Brarou alwata
TD145,Urgence malaria Massakory,30,Brarou Kouloukoulia
TD145,Urgence malaria Massakory,31,Doukouri
TD145,Urgence malaria Massakory,32,Ganardi Noir
TD145,Urgence malaria Massakory,33,Karassa
TD145,Urgence malaria Massakory,34,Kinjerti
CD133,déplacés Gety,0,centre 0
CD154,VVS NIANIA,0,centre 0
CF100,MISSION EXPLO RCA,0,centre 0
CF120,BOUAR,0,centre 0
CF121,PROJET PREVENTION,0,centre 0
CM125,Buruli Akonolinga,0,centre 0
CM161,Garoua Boulai,0,centre 0
CM162,Batouri,0,centre 0
CM163,Yokodouma,0,centre 0
GN117,Rougeole Conakry,0,centre 0
GN143,Urgence FHV,0,centre 0
GN155,Guekedou malaria,0,centre 0
IQ122,Iraq Crisis,0,centre 0
IQ133,"Ninewa IDP's",0,centre 0
IQ141,Kirkuk NCD,0,centre 0
IQ142,Hawijah,0,centre 0
IQ144,Afflux refugiés syriens,0,centre 0
IQ151,"IDP'S Salah Al-Din",0,centre 0
KE110,Dadaab / Dagahaley camp,0,centre 0
KG110,TB prisons,0,centre 0
KG130,TB Kara suu,0,centre 0
KP130,MODULES DPRK,0,centre 0
LB143,AARSAL MATERNITY,0,centre 0
LR100,EXPLO LIBERIA,0,centre 0
LR180,LOFA (ebola),0,centre 0
MM110,Dawei HIV,0,centre 0
MM121,PHC WA,0,centre 0
MM151,RAHKINE,0,centre 0
MX111,Pic of Violence Reynosa,0,centre 0
MZ160,Maputo HIV,0,centre 0
NE110,Zinder nut,0,centre 0
NE187,REFAC - EVAL CPS NIGER,0,centre 0
NE210,ROTAVIRUS - INNOVATION,0,centre 0
PH121,TYPHON Philippines,0,centre 0
SD224,Gedaref Reproducting Health,0,centre 0
SD230,West Darfur,0,centre 0
SD234,Sennar Kala Azar,0,centre 0
SD277,SERP Interventions,0,centre 0
SS100,Explo South Sudan,0,centre 0
SS110,Exposed population South Sudan,0,centre 0
SS121,IDP LAKES,0,centre 0
SS163,RUMBEK VACCINATION,0,centre 0
SY102,SYRIA BACK-UP BASE,0,centre 0
SZ111,KHLATUKULU,0,centre 0
SZ112,MASENTJENI,0,centre 0
SZ113,NHLANGANO,0,centre 0
TD111,"Urgence Rougeole N'Djamnea",0,centre 0
TD130,Papillon Abeche,0,centre 0
TD140,Hopital Massakory,0,centre 0
TD147,REPONSE URGENCE ROUGEOLE MASSAKORY,0,centre 0
UA100,EXPLO UKRAINE,0,centre 0
